codigo;nombre articulo
170053120;"PERA ANCLAJE ARGOLLA ABIERTO M8 3/8"""
170011650;"PERA ANCLAJE CUÃA 1/2*5.1/2"""
117060100;TFLA TUERCA FLANGE BICRO. M6-1.00 
136000005;"VGUZ GUASA ZINC. 5/32"""
136000006;"VGUZ GUASA ZINC. 3/16"""
136000008;"VGUZ GUASA ZINC. 1/4"""
114001400;"T8FN TUERCA GÂº8 RF 7/16"""
136000010;"VGUZ GUASA ZINC. 5/16"""
136000012;"VGUZ GUASA ZINC. 3/8"""
136000014;"VGUZ GUASA ZINC. 7/16"""
136000016;"VGUZ GUASA ZINC. 1/2"""
113002000;"T8ON TUERCA GÂº8 RO 5/8"""
136000018;"VGUZ GUASA ZINC. 9/16"""
136000020;"VGUZ GUASA ZINC. 5/8"""
170011670;"PERA ANCLAJE CUÃA 1/2*7"""
136000024;"VGUZ GUASA ZINC. 3/4"""
136000028;"VGUZ GUASA ZINC. 7/8"""
135000100;"VGUN GUASA NEGÂº 1"""
117010470;TFLA TUERCA FLANGE BICRO. M4-0.7
170053160;"PERA ANCLAJE ARGOLLA ABIERTO M10 1/2"""
113001000;"T8ON TUERCA GÂº8 RO 5/16"""
129052202;"TVAR TUERCA CIEGA CROMADA 5/32"""
129052204;"TVAR TUERCA CIEGA CROMADA 3/16"""
135000108;"VGUN GUASA NEGÂº 1.1/4"""
129052208;"TVAR TUERCA CIEGA CROMADA 1/4"""
129052212;"TVAR TUERCA CIEGA CROMADA 5/16"""
129052216;"TVAR TUERCA CIEGA CROMADA 3/8"""
129052220;"TVAR TUERCA CIEGA CROMADA 1/2"""
117080125;TFLA TUERCA FLANGE BICRO. M8-1.25 
211824700;"RESP ESPARRAGO B7 3/4*7"""
129000006;"TVAR TUERCA MARIPOSA 3/16"""
129000008;"TVAR TUERCA MARIPOSA 1/4"""
201000008;"RTAL TUERCA ALTA RF 1/4"""
129000010;"TVAR TUERCA MARIPOSA 5/16"""
201000010;"RTAL TUERCA ALTA RF 5/16"""
129000012;"TVAR TUERCA MARIPOSA 3/8"""
201000012;"RTAL TUERCA ALTA RF 3/8"""
201000014;"RTAL TUERCA ALTA RF 7/16"""
170011210;"PERA ANCLAJE CUÃA 3/8*2.1/4"""
170091600;"PERA ANCLAJE MULTIUSO H. 1/2"""
201000016;"RTAL TUERCA ALTA RF 1/2"""
201000018;"RTAL TUERCA ALTA RF 9/16"""
129000016;"TVAR TUERCA MARIPOSA 1/2"""
201000020;"RTAL TUERCA ALTA RF 5/8"""
170011220;"PERA ANCLAJE CUÃA 3/8*3"""
170053200;"PERA ANCLAJE ARGOLLA ABIERTO M12 5/8"""
114002000;"T8FN TUERCA GÂº8 RF 5/8"""
201000024;"RTAL TUERCA ALTA RF 3/4"""
201000028;"RTAL TUERCA ALTA RF 7/8"""
117100125;TFLA TUERCA FLANGE BICRO. M10-1.25
170011230;"PERA ANCLAJE CUÃA 3/8*3.3/4"""
136000100;"VGUZ GUASA ZINC. 1"""
170052208;"PERA ANCLAJE ARGOLLA CERRADO M5 1/4"""
170052210;"PERA ANCLAJE ARGOLLA CERRADO M8 5/16"""
170052212;"PERA ANCLAJE ARGOLLA CERRADO M10 3/8"""
117100150;TFLA TUERCA FLANGE BICRO. M10-1.50 
170052214;"PERA ANCLAJE ARGOLLA CERRADO M12 1/2"""
170052216;"PERA ANCLAJE ARGOLLA CERRADO M12 5/8"""
117120125;TFLA TUERCA FLANGE BICRO. M12-1.25 
113001600;"T8ON TUERCA GÂº8 RO 1/2"""
117200004;"TFLA TUERCA FLANGE ZINC. 3/16"""
117200008;"TFLA TUERCA FLANGE ZINC. 1/4"""
117200012;"TFLA TUERCA FLANGE ZINC. 5/16"""
117200016;"TFLA TUERCA FLANGE ZINC. 3/8"""
117120150;TFLA TUERCA FLANGE BICRO. M12-1.50 
117200024;"TFLA TUERCA FLANGE ZINC. 1/2"""
202000025;RTAR TUERCA ARTILLERA ALTA 3/4*1.1/4*1
201000100;"RTAL TUERCA ALTA RF 1"""
129000106;TVAR TUERCA MARIPOSA M6-1.00
